"2. Upload CSV","2. Upload CSV"
"Select Attributes Set","Select Attributes Set"
"CSV schema.","CSV schema."
"Too many products added to import.","Too many products added to import."
"Attributes doesn't match all required attributes. Missing attribute : ","Attributes doesn't match all required attributes. Missing attribute : "
"Attribute Set don\'t exist","Attribute Set don\'t exist"
"Value for attribute : ","Value for attribute : "
" is not valid"," is not valid"
"No categories found","No categories found"
"Product does not exists","Product does not exists"
"No valid category","No valid category"
" is not valid. Should be numeric."," is not valid. Should be numeric."
"Search by Name or SKU","Search by Name or SKU"
"Order List","Order List"
"Import Shipping","Import Shipping"
"My Supplier Page","My Supplier Page"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
